uuid,source,category,material_or_activity,region,activity_name,unit,value_kgco2e,uncertainty_pct,data_quality_score_1to5,reference_year,methodology,allocation,reference,notes,last_updated,meta
cd2d8e6d-ea69-4f2f-a31c-ff50ac73522d,Higg MSI,Office & IT,Data Center kWh,Global,Office & IT - Data Center kWh (Global),kgCO2e/kWh,0.3009,15,5,2023,Process-based,Economic,Higg MSI 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-08-22,"{""env"":""pilot"",""license"":""TBD""}"
6b90bbbd-ff08-47fc-9c3b-8f0343920c3b,Climatiq,Transport,Truck Euro6,US,Transport - Truck Euro6 (US),kgCO2e/tonne-km,0.2516,15,5,2023,Process-based,Economic,Climatiq 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-12-03,"{""env"":""pilot"",""license"":""TBD""}"
de7d44e5-f335-4d78-98da-055e9f6913d4,DEFRA,Retail,Store Electricity,CN,Retail - Store Electricity (CN),kgCO2e/kWh,0.6018,30,2,2023,Consequential,Energy Content,DEFRA 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-07-10,"{""env"":""pilot"",""license"":""TBD""}"
8d372a12-1d8e-427e-abb8-660ab0178f2e,Ecoinvent,Transport,Sea Container,EU,Transport - Sea Container (EU),kgCO2e/tonne-km,0.2812,30,3,2024,Hybrid,Economic,Ecoinvent 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-02-03,"{""env"":""pilot"",""license"":""TBD""}"
d9ec7694-db66-4e31-a56e-7cd3bb4cf30e,Ecoinvent,Retail,E-commerce Ops,EU,Retail - E-commerce Ops (EU),kgCO2e/kWh,0.2599,40,3,2022,Process-based,None,Ecoinvent 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-10-22,"{""env"":""pilot"",""license"":""TBD""}"
732f981d-2068-4b23-8bf7-49f98eafde41,DEFRA,Fibre,Cotton,CN,Fibre - Cotton (CN),kgCO2e/kg,3.7156,20,4,2020,Process-based,Mass,DEFRA 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-06-14,"{""env"":""pilot"",""license"":""TBD""}"
8f28f0f1-f381-4515-ae97-a3a55c89a527,Higg MSI,Yarn,Open End,Global,Yarn - Open End (Global),kgCO2e/kg,3.2845,20,4,2023,Consequential,None,Higg MSI 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-01-11,"{""env"":""pilot"",""license"":""TBD""}"
0112b003-12ed-444b-9aab-aca9f4db1a44,Climatiq,Transport,Rail,US,Transport - Rail (US),kgCO2e/tonne-km,0.4499,30,3,2022,Consequential,Economic,Climatiq 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-04-04,"{""env"":""pilot"",""license"":""TBD""}"
07159801-563d-44db-a4d3-30d1f67d0af2,Higg MSI,Fibre,Cotton,US,Fibre - Cotton (US),kgCO2e/kg,3.0517,15,1,2023,Hybrid,Economic,Higg MSI 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-02-02,"{""env"":""pilot"",""license"":""TBD""}"
fe6dfa49-5aa8-4f8c-afdd-077cadf642f1,Higg MSI,Fabric,Fleece,CN,Fabric - Fleece (CN),kgCO2e/kg,17.0484,15,3,2024,Hybrid,None,Higg MSI 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-10-04,"{""env"":""pilot"",""license"":""TBD""}"
520adf91-6160-482a-8a42-82393542f9ec,Climatiq,Yarn,Filament,TR,Yarn - Filament (TR),kgCO2e/kg,2.6572,30,4,2023,Process-based,Mass,Climatiq 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-06-28,"{""env"":""pilot"",""license"":""TBD""}"
7568e8dd-34b9-4747-a97c-5e4c00e1397e,Higg MSI,Garment,Dress,US,Garment - Dress (US),kgCO2e/item,5.529,20,3,2024,Process-based,None,Higg MSI 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-04-01,"{""env"":""pilot"",""license"":""TBD""}"
8ef3b87a-4479-43b0-93d6-51ac3f3af1e1,Climatiq,Fibre,Viscose,EU,Fibre - Viscose (EU),kgCO2e/kg,2.7779,20,5,2018,Consequential,Mass,Climatiq 2018 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-11-12,"{""env"":""pilot"",""license"":""TBD""}"
2fe47070-40e9-4221-85c8-a60c0dcc9758,DEFRA,Yarn,Blended Yarn,TR,Yarn - Blended Yarn (TR),kgCO2e/kg,4.2964,50,3,2020,Process-based,Mass,DEFRA 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-02-12,"{""env"":""pilot"",""license"":""TBD""}"
c66156d4-84d7-4646-a800-e062c74720a6,Ecoinvent,Dyeing & Finishing,Vat Dyeing,EU,Dyeing & Finishing - Vat Dyeing (EU),kgCO2e/kg,5.6541,20,3,2021,Consequential,Economic,Ecoinvent 2021 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-05-26,"{""env"":""pilot"",""license"":""TBD""}"
a5cb4a86-f617-4c3a-a97b-83c5767e5e41,Climatiq,Fabric,Denim,TR,Fabric - Denim (TR),kgCO2e/kg,7.6013,20,4,2024,Process-based,Mass,Climatiq 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-02-09,"{""env"":""pilot"",""license"":""TBD""}"
df5f406c-30ee-400f-ba6d-16d13d96cb16,Higg MSI,Dyeing & Finishing,Vat Dyeing,EU,Dyeing & Finishing - Vat Dyeing (EU),kgCO2e/kg,0.9142,15,5,2021,Consequential,Energy Content,Higg MSI 2021 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-09-28,"{""env"":""pilot"",""license"":""TBD""}"
15b8cf83-e71e-4cc4-abfa-4190518d2d8b,Ecoinvent,Garment,Dress,Global,Garment - Dress (Global),kgCO2e/item,14.735,5,5,2021,Process-based,Energy Content,Ecoinvent 2021 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-06-14,"{""env"":""pilot"",""license"":""TBD""}"
ace26f57-1e74-44a8-830e-d452daac0b31,Ecoinvent,Fabric,Woven,TR,Fabric - Woven (TR),kgCO2e/kg,16.9785,15,4,2019,Process-based,Energy Content,Ecoinvent 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-05-20,"{""env"":""pilot"",""license"":""TBD""}"
fef87f83-cec8-40d2-9d3b-2614ffeaeeb0,Climatiq,Yarn,Filament,TR,Yarn - Filament (TR),kgCO2e/kg,7.1171,20,4,2024,Process-based,Energy Content,Climatiq 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-05-31,"{""env"":""pilot"",""license"":""TBD""}"
3c57f25f-c60c-46f5-981f-35ee84fe6319,Climatiq,Transport,Sea Container,TR,Transport - Sea Container (TR),kgCO2e/tonne-km,1.0418,15,5,2023,Attributional,None,Climatiq 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-11-20,"{""env"":""pilot"",""license"":""TBD""}"
30d0c43b-b001-4728-8917-b1c2d7ac4ff5,DEFRA,Fabric,Fleece,TR,Fabric - Fleece (TR),kgCO2e/kg,9.0156,15,4,2020,Consequential,Mass,DEFRA 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-08-09,"{""env"":""pilot"",""license"":""TBD""}"
fec73011-7644-44b3-9461-1b080f777119,Ecoinvent,Office & IT,Data Center kWh,CN,Office & IT - Data Center kWh (CN),kgCO2e/kWh,0.2194,15,3,2022,Process-based,Mass,Ecoinvent 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-06-12,"{""env"":""pilot"",""license"":""TBD""}"
c028e7d6-bc0a-48fc-aa67-b47442bd26ca,DEFRA,Garment,Shirt,Global,Garment - Shirt (Global),kgCO2e/item,5.6651,20,3,2020,Process-based,Mass,DEFRA 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-05-31,"{""env"":""pilot"",""license"":""TBD""}"
c12c0ab1-0dde-401e-b067-8b7d2e439d2b,Climatiq,Office & IT,Data Center kWh,EU,Office & IT - Data Center kWh (EU),kgCO2e/kWh,0.3994,20,3,2021,Consequential,Mass,Climatiq 2021 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-09-23,"{""env"":""pilot"",""license"":""TBD""}"
533c915b-c715-42d3-90ce-a44ba1207630,Ecoinvent,Retail,Store Electricity,TR,Retail - Store Electricity (TR),kgCO2e/kWh,0.6576,10,3,2019,Attributional,None,Ecoinvent 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-06-19,"{""env"":""pilot"",""license"":""TBD""}"
d8b23aba-6f8a-43e0-9c44-fadfe2552b7b,Climatiq,Fibre,Wool,Global,Fibre - Wool (Global),kgCO2e/kg,7.7289,10,3,2022,Attributional,Economic,Climatiq 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-10-29,"{""env"":""pilot"",""license"":""TBD""}"
6e6d2a55-ff65-4a97-bc34-43efccbca93a,DEFRA,Garment,T-Shirt,CN,Garment - T-Shirt (CN),kgCO2e/item,5.2079,20,1,2024,Process-based,Mass,DEFRA 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-02-28,"{""env"":""pilot"",""license"":""TBD""}"
6a7ab5ed-fa5f-4bfb-a3b5-280a5adde4bc,DEFRA,Garment,Jeans,Global,Garment - Jeans (Global),kgCO2e/item,22.2803,5,3,2025,Process-based,Mass,DEFRA 2025 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-01-18,"{""env"":""pilot"",""license"":""TBD""}"
fa38be8f-903d-439c-a414-85d1e0e59d7c,Ecoinvent,Dyeing & Finishing,Disperse Dyeing,CN,Dyeing & Finishing - Disperse Dyeing (CN),kgCO2e/kg,6.0649,15,5,2022,Process-based,Mass,Ecoinvent 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-03-03,"{""env"":""pilot"",""license"":""TBD""}"
e9cf2cdf-1259-408e-8ded-82ee293e613c,Ecoinvent,Fabric,Denim,CN,Fabric - Denim (CN),kgCO2e/kg,8.1776,40,5,2020,Attributional,None,Ecoinvent 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-09-12,"{""env"":""pilot"",""license"":""TBD""}"
c970473b-d337-4bf7-b632-dd1bca90ccd1,Climatiq,Yarn,Ring Spun,TR,Yarn - Ring Spun (TR),kgCO2e/kg,5.7176,15,2,2024,Consequential,Economic,Climatiq 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-08-23,"{""env"":""pilot"",""license"":""TBD""}"
962e8751-d4dc-4cda-b466-9a9fa525a287,Higg MSI,Retail,Returns Processing,TR,Retail - Returns Processing (TR),kgCO2e/kWh,0.5484,30,4,2024,Attributional,Mass,Higg MSI 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-06-06,"{""env"":""pilot"",""license"":""TBD""}"
e3b209b6-3758-4673-9845-0a79533b8097,Ecoinvent,Office & IT,Laptop Usage,US,Office & IT - Laptop Usage (US),kgCO2e/kWh,0.6953,15,3,2024,Process-based,Energy Content,Ecoinvent 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-06-21,"{""env"":""pilot"",""license"":""TBD""}"
8982a6f0-5d11-414c-9eea-c3b39e0b29a3,Ecoinvent,Garment,Shirt,Global,Garment - Shirt (Global),kgCO2e/item,18.7578,15,3,2023,Process-based,None,Ecoinvent 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-04-09,"{""env"":""pilot"",""license"":""TBD""}"
3751d1e7-3faa-43f7-a5af-ba89eef5f02f,Higg MSI,Fabric,Knit,CN,Fabric - Knit (CN),kgCO2e/kg,17.3367,15,4,2025,Hybrid,None,Higg MSI 2025 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-02-18,"{""env"":""pilot"",""license"":""TBD""}"
c17d06ca-ef3f-4e80-a15b-b2c119ac9aab,Higg MSI,Office & IT,Office Heating,Global,Office & IT - Office Heating (Global),kgCO2e/kWh,0.2459,15,4,2021,Attributional,Energy Content,Higg MSI 2021 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-09-10,"{""env"":""pilot"",""license"":""TBD""}"
3102dc96-7b69-4c65-a45d-7ee7ebd2f5d5,Ecoinvent,Transport,Truck Euro6,TR,Transport - Truck Euro6 (TR),kgCO2e/tonne-km,1.1694,5,5,2024,Attributional,Energy Content,Ecoinvent 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-10-20,"{""env"":""pilot"",""license"":""TBD""}"
b3bfe7e2-5d7d-4259-ae59-943e515c9822,DEFRA,Retail,E-commerce Ops,CN,Retail - E-commerce Ops (CN),kgCO2e/kWh,0.6334,15,4,2021,Attributional,Economic,DEFRA 2021 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-07-12,"{""env"":""pilot"",""license"":""TBD""}"
a0903cc4-8bee-45b2-bc0e-4f3e2fcc82ee,Ecoinvent,Yarn,Ring Spun,Global,Yarn - Ring Spun (Global),kgCO2e/kg,2.4792,30,4,2024,Attributional,Energy Content,Ecoinvent 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-07-03,"{""env"":""pilot"",""license"":""TBD""}"
c84d4416-afeb-434f-ac43-017455fc8772,DEFRA,Dyeing & Finishing,Digital Printing,CN,Dyeing & Finishing - Digital Printing (CN),kgCO2e/kg,1.2933,15,4,2022,Consequential,Energy Content,DEFRA 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-09-06,"{""env"":""pilot"",""license"":""TBD""}"
1ba7f1ca-c9f3-4379-a0f6-5c6a091b2eb6,Ecoinvent,Fabric,Jersey,TR,Fabric - Jersey (TR),kgCO2e/kg,9.4986,10,2,2019,Attributional,Energy Content,Ecoinvent 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-09-29,"{""env"":""pilot"",""license"":""TBD""}"
d40bab36-f193-4729-9728-5324ab94084a,Higg MSI,Retail,Returns Processing,EU,Retail - Returns Processing (EU),kgCO2e/kWh,0.2414,15,3,2024,Attributional,None,Higg MSI 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-01-09,"{""env"":""pilot"",""license"":""TBD""}"
2445e5d8-26c4-46ae-b9f6-1691d8f95dde,Climatiq,Garment,Dress,CN,Garment - Dress (CN),kgCO2e/item,2.7711,40,4,2023,Attributional,Mass,Climatiq 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-10-26,"{""env"":""pilot"",""license"":""TBD""}"
3c9d3206-20c4-43e5-b08b-4bd4fe870cef,DEFRA,Fibre,Wool,US,Fibre - Wool (US),kgCO2e/kg,10.9127,10,1,2025,Process-based,Economic,DEFRA 2025 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-03-04,"{""env"":""pilot"",""license"":""TBD""}"
0319fa09-fd85-4781-82be-6e928b159065,Higg MSI,Garment,Jeans,CN,Garment - Jeans (CN),kgCO2e/item,12.1288,15,3,2019,Attributional,None,Higg MSI 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-05-22,"{""env"":""pilot"",""license"":""TBD""}"
476023fb-5386-45ab-9ce8-6a4df7864408,Ecoinvent,Packaging,Paper Wrap,EU,Packaging - Paper Wrap (EU),kgCO2e/item,0.0843,20,4,2020,Consequential,Energy Content,Ecoinvent 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-08-18,"{""env"":""pilot"",""license"":""TBD""}"
a450eee7-3bf2-42f1-8364-9d3f3a828c3c,Higg MSI,Yarn,Filament,Global,Yarn - Filament (Global),kgCO2e/kg,5.2166,40,3,2024,Attributional,Mass,Higg MSI 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-10-22,"{""env"":""pilot"",""license"":""TBD""}"
237e9837-eac3-41d5-8711-11a76077d012,DEFRA,Fibre,Cotton,EU,Fibre - Cotton (EU),kgCO2e/kg,5.1441,15,4,2024,Attributional,Mass,DEFRA 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-10-02,"{""env"":""pilot"",""license"":""TBD""}"
6bb0a8d7-e75e-4de9-a80b-1da6fbdaa0e6,Climatiq,Retail,Returns Processing,EU,Retail - Returns Processing (EU),kgCO2e/kWh,0.2068,20,2,2023,Attributional,Economic,Climatiq 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-06-30,"{""env"":""pilot"",""license"":""TBD""}"
02b278db-926f-4912-a103-5c420b91081a,Ecoinvent,Transport,Truck Euro6,Global,Transport - Truck Euro6 (Global),kgCO2e/tonne-km,0.9109,10,3,2021,Attributional,Energy Content,Ecoinvent 2021 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-06-10,"{""env"":""pilot"",""license"":""TBD""}"
84b3449b-17dd-4be1-ab84-f7d6eeb86af6,Ecoinvent,Dyeing & Finishing,Reactive Dyeing,TR,Dyeing & Finishing - Reactive Dyeing (TR),kgCO2e/kg,3.9025,20,2,2023,Consequential,Energy Content,Ecoinvent 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-01-29,"{""env"":""pilot"",""license"":""TBD""}"
e86c1b44-c092-4d68-8f11-fc1137f53c75,Ecoinvent,Fibre,Viscose,US,Fibre - Viscose (US),kgCO2e/kg,5.4383,5,2,2024,Attributional,Economic,Ecoinvent 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-10-21,"{""env"":""pilot"",""license"":""TBD""}"
efd05ba0-af9f-46b4-91d0-8ed6a9fee5f2,DEFRA,Fabric,Fleece,TR,Fabric - Fleece (TR),kgCO2e/kg,11.4387,15,3,2025,Process-based,Mass,DEFRA 2025 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-02-01,"{""env"":""pilot"",""license"":""TBD""}"
a49671d2-6eef-48a1-a7a9-22f4ad9eaa3c,Higg MSI,Distribution,3PL Hub,TR,Distribution - 3PL Hub (TR),kgCO2e/item,0.5202,10,5,2025,Consequential,Mass,Higg MSI 2025 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-06-19,"{""env"":""pilot"",""license"":""TBD""}"
a2a6a3ed-a735-42f9-8d47-3a7c99a04b25,DEFRA,Distribution,Warehouse (Ambient),Global,Distribution - Warehouse (Ambient) (Global),kgCO2e/item,0.2215,15,3,2022,Hybrid,Mass,DEFRA 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-03-02,"{""env"":""pilot"",""license"":""TBD""}"
6db1d109-fda8-4870-a747-cb19fe7ab5c8,Higg MSI,Packaging,Hangtag,CN,Packaging - Hangtag (CN),kgCO2e/item,0.0537,30,3,2022,Attributional,None,Higg MSI 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-08-04,"{""env"":""pilot"",""license"":""TBD""}"
9a023324-c2ae-44be-8753-91db5ee1185a,Climatiq,Office & IT,Office Heating,Global,Office & IT - Office Heating (Global),kgCO2e/kWh,0.2845,10,3,2019,Attributional,Mass,Climatiq 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-03-02,"{""env"":""pilot"",""license"":""TBD""}"
7eb71959-34bb-40f9-a76b-4999447d77d8,DEFRA,Office & IT,Data Center kWh,EU,Office & IT - Data Center kWh (EU),kgCO2e/kWh,0.4517,5,4,2024,Attributional,Economic,DEFRA 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-09-22,"{""env"":""pilot"",""license"":""TBD""}"
c2f8e5de-41ec-4fc5-903d-46622e978eed,Higg MSI,Fibre,Organic Cotton,EU,Fibre - Organic Cotton (EU),kgCO2e/kg,1.9297,50,4,2023,Process-based,Economic,Higg MSI 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-07-01,"{""env"":""pilot"",""license"":""TBD""}"
be4e7029-78f9-4053-893d-afd709563184,Higg MSI,Transport,Sea Container,TR,Transport - Sea Container (TR),kgCO2e/tonne-km,0.8995,10,1,2024,Hybrid,Energy Content,Higg MSI 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-02-02,"{""env"":""pilot"",""license"":""TBD""}"
675e4a0d-d709-4338-b08a-b98af3315460,DEFRA,Yarn,Open End,US,Yarn - Open End (US),kgCO2e/kg,3.6596,20,2,2020,Hybrid,Mass,DEFRA 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-08-09,"{""env"":""pilot"",""license"":""TBD""}"
65ecfc59-c1cb-4152-9dc6-cf3c3cdeaa74,DEFRA,Packaging,Carton Box,CN,Packaging - Carton Box (CN),kgCO2e/item,0.066,15,3,2022,Attributional,Mass,DEFRA 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-02-20,"{""env"":""pilot"",""license"":""TBD""}"
3f23b5e5-a5fa-4198-a713-b7ca5eb20070,Climatiq,Dyeing & Finishing,Disperse Dyeing,EU,Dyeing & Finishing - Disperse Dyeing (EU),kgCO2e/kg,5.8624,15,3,2024,Process-based,Economic,Climatiq 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-06-27,"{""env"":""pilot"",""license"":""TBD""}"
58b7acae-c3f4-401a-b308-4dc4e3efcd47,Ecoinvent,Packaging,Polybag,EU,Packaging - Polybag (EU),kgCO2e/item,0.0118,15,3,2022,Consequential,Energy Content,Ecoinvent 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-09-19,"{""env"":""pilot"",""license"":""TBD""}"
2e268b7e-8666-4a39-919f-48e82ec98501,Ecoinvent,Distribution,3PL Hub,US,Distribution - 3PL Hub (US),kgCO2e/item,0.3242,50,3,2019,Consequential,None,Ecoinvent 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-05-31,"{""env"":""pilot"",""license"":""TBD""}"
ec49f5d4-86af-4f62-afd8-52acf491eee0,DEFRA,Dyeing & Finishing,Reactive Dyeing,US,Dyeing & Finishing - Reactive Dyeing (US),kgCO2e/kg,8.2982,15,4,2022,Attributional,None,DEFRA 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-07-18,"{""env"":""pilot"",""license"":""TBD""}"
80855a10-0f0e-4e0e-85a0-a147351fa74e,Higg MSI,Office & IT,Data Center kWh,US,Office & IT - Data Center kWh (US),kgCO2e/kWh,0.2998,15,4,2024,Consequential,None,Higg MSI 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-09-19,"{""env"":""pilot"",""license"":""TBD""}"
ef9e527a-09c9-48a0-876e-f5073c3e93f0,Climatiq,Dyeing & Finishing,Heat Setting,US,Dyeing & Finishing - Heat Setting (US),kgCO2e/kg,0.9923,10,3,2019,Process-based,Economic,Climatiq 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-05-15,"{""env"":""pilot"",""license"":""TBD""}"
af468ae5-9f27-48c9-b9f2-3a2be3241452,Ecoinvent,Yarn,Blended Yarn,Global,Yarn - Blended Yarn (Global),kgCO2e/kg,0.8195,15,2,2023,Hybrid,Economic,Ecoinvent 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-09-09,"{""env"":""pilot"",""license"":""TBD""}"
1cb1b1e6-b1f7-4a52-b10f-50a393c67159,Higg MSI,Garment,Shirt,TR,Garment - Shirt (TR),kgCO2e/item,3.9831,40,4,2020,Hybrid,Mass,Higg MSI 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-10-01,"{""env"":""pilot"",""license"":""TBD""}"
b99aa8d9-ddf9-405c-93ee-8c86e883d3f4,Higg MSI,Packaging,Hangtag,Global,Packaging - Hangtag (Global),kgCO2e/item,0.0435,10,4,2020,Attributional,Mass,Higg MSI 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-08-23,"{""env"":""pilot"",""license"":""TBD""}"
